Source,Agol et al. 2021,Rathcke et al. 2025,Ducrot et al. 2020,Hirano et al. 2020,Grimm et al. 2018,Gillon et al. 2017,de Wit et al. 2016,Gillon et al. 2016,ExoFOP
P (days),1.510826±0.000006,1.5108261±0.0000058,1.51088432±0.00000015,1.51087 +0.00022 -0.00017,---,1.51087081±0.00000060,---,1.510848±0.000019,1.51094471179194±0.00012604707000
a (au),0.01154±0.00010,---,0.011534 +0.000099 -0.000092,---,0.011547750±0.000000057,0.01111±0.00034,---,0.01111±0.00040,---
Rp (R⨁),1.116 +0.014 -0.012,---,---,---,1.121 +0.031 -0.032,1.086±0.035,---,1.113±0.044,1.20389171822242±0.23403676000000
Rp (RJup),0.09956 +0.00125 -0.00107,---,---,---,0.1000 +0.0028 -0.0029,0.09689±0.00312,---,0.09930±0.00393,0.107404210110061±0.020879397178371
Mp (M⨁),1.374±0.069,---,---,---,1.017 +0.154 -0.143,0.850±0.720,---,---,---
Mp (MJup),0.004323±0.000217,---,---,---,0.003200 +0.000485 -0.000450,0.00267±0.00227,---,---,---
ρ (g/cm3),5.442 +0.265 -0.276,---,---,---,4.00 +0.51 -0.50,3.6±3.1,---,---,---
e,---,0,---,---,0.00622±0.00304,<0.081,---,0,---
S (S⨁),4.153 +0.161 -0.159,---,4.15±0.16,---,---,4.25±0.33,---,4.25±0.38,98.1930529305747
Teq (K),---,---,397.6±3.8,---,---,400.1±7.7,366,400±9,802.860220389002
i (deg),89.728±0.165,89.80 +0.14 -0.12,89.28±0.32,---,---,89.65 +0.22 -0.27,89.39±0.32,89.41±0.41,---
TC (days),---,2460501.405464 +0.000010 -0.000011 (BJD-TDB),2457322.514193±0.000003 (BJD-TDB),2458362.0021 +0.0016 -0.0022 (BJD-TDB),---,2457322.51736±0.00010 (BJD-TDB),2457512.88646±0.00030 (BJD),2457322.51765±0.00025 (BJD-TDB),2460209.80835200±0.00109332  (BJD)
b,0.0950 +0.0650 -0.0610,---,0.254 +0.110 -0.085,---,---,0.126 +0.092 -0.078,---,0.21±0.14,---
δ (%),0.7378±0.0064,---,---,---,---,0.7266±0.0088,0.8015±0.0220,0.754±0.025,1.06934881603416±0.11801766000000
T14 (hours),0.6010±0.0018,---,0.60515±0.00155,---,---,0.6067±0.0028,0.6020±0.0077,0.6020±0.0077,0.640149871039871±0.125401200000000
a/R✶,20.843 +0.094 -0.155,20.802 +0.052 -0.078,20.13 +0.46 -0.55,---,---,20.50 +0.16 -0.31,---,20.45 +0.43 -0.81,---
Rp/R✶,0.08590±0.00037,0.08507 +0.00016 -0.00017,---,---,---,---,---,---,---
ω (deg),---,90,---,---,336.86±34.24,---,---,---,---
λ (deg),---,---,---,15 +26 -30,---,---,---,---,---
