Source,Agol et al. 2021,Ducrot et al. 2020,Hirano et al. 2020,Grimm et al. 2018,Gillon et al. 2017
P (days),9.207540±0.000032,9.20659399±0.00000212,9.2129±0.0010,---,9.206690±0.000015
a (au),0.03849±0.00033,0.038774 +0.000330 -0.000310,---,0.03853361±0.00000048,0.0371±0.0011
Rp (R⨁),1.045 +0.013 -0.012,---,---,1.046 +0.029 -0.030,1.045±0.038
Rp (RJup),0.09323 +0.00116 -0.00107,---,---,0.09332 +0.00259 -0.00268,0.09323±0.00339
Mp (M⨁),1.039±0.031,---,---,0.9340 +0.0800 -0.0780,0.68±0.18
Mp (MJup),0.003269±0.000098,---,---,0.002939 +0.000252 -0.000245,0.0021±0.0006
ρ (g/cm3),5.02 +0.14 -0.16,---,---,4.50 +0.21 -0.20,3.30±0.94
e,---,---,---,0.01007±0.00068,<0.063
S (S⨁),0.373 +0.015 -0.014,0.373±0.014,---,---,0.382±0.030
Teq (K),---,217.7±2.1,---,---,219.0±4.2
i (deg),89.740±0.019,89.666±0.059,---,---,89.680±0.034
TC (days),---,2457671.3737299±0.0000157 (BJD-TDB),2458361.8545±0.0018 (BJD-TDB),---,2457671.39767±0.00023 (BJD-TDB)
b,0.312 +0.023 -0.018,0.391±0.056,---,---,0.382±0.035
δ (%),0.6465±0.0076,---,---,---,0.673±0.023
T14 (hours),1.0480±0.0042,1.055±0.005,---,---,1.043±0.010
a/R✶,69.543 +0.314 -0.516,67.10 +1.15 -1.90,---,---,68.4 +0.5 -1.0
Rp/R✶,0.08040±0.00047,---,---,---,---
ω (deg),---,---,---,368.81±3.11,---
λ (deg),---,---,21±32,---,---
