Source,Agol et al. 2021,Ducrot et al. 2020,Grimm et al. 2018,Gillon et al. 2017
P (days),12.352446±0.000054,12.35355570±0.00000341,---,12.35294±0.00012
a (au),0.04683±0.00040,0.04681528 +0.00040000 -0.00037000,0.04687692±0.00000032,0.0451±0.0014
Rp (R⨁),1.129 +0.015 -0.013,---,1.148 +0.032 -0.033,1.127±0.041
Rp (RJup),0.1007 +0.0013 -0.0012,---,0.1024 +0.0029 -0.0029,0.1005±0.0037
Mp (M⨁),1.321±0.038,---,1.148 +0.098 -0.095,1.34±0.88
Mp (MJup),0.004156±0.000120,---,0.003612 +0.000308 -0.000299,0.00422±0.00277
ρ (g/cm3),5.06 +0.14 -0.16,---,4.18 +0.19 -0.18,5.2±3.5
e,---,---,0.00208±0.00058,<0.061
S (S⨁),0.252±0.010,0.2520±0.0097,---,0.258±0.020
Teq (K),---,197.3±1.9,---,198.6±3.8
i (deg),89.742±0.012,89.698±0.044,---,89.710±0.025
TC (days),---,2457665.3628439±0.0000206 (BJD-TDB),---,2457665.34937±0.00021 (BJD-TDB)
b,0.379 +0.018 -0.014,0.430±0.049,---,0.421±0.031
δ (%),0.7555±0.0092,---,---,0.782±0.027
T14 (hours),1.1370±0.0047,1.152±0.006,---,1.140±0.011
a/R✶,84.591 +0.382 -0.628,81.7 +1.8 -2.3,---,83.2 +0.6 -1.2
Rp/R✶,0.08692±0.00053,---,---,---
ω (deg),---,---,191.34±13.83,---
