Source,Piaulet-Ghorayeb et al. 2025,Agol et al. 2021,Ducrot et al. 2020,Hirano et al. 2020,TICv8,Gaia DR2,Grimm et al. 2018,Gillon et al. 2017,Gillon et al. 2016,ExoFOP
Sp. T,M8.0 V,---,---,---,---,---,---,---,---,---
Teff (K),2566±26,2566±26,2520±39,---,---,3352.3333 +103.6670 -61.8333,---,2559±50,2550±55,5780
R✶ (R⦿),0.1192±0.0013,0.1192±0.0013,0.1234±0.0033,---,0.1148270±0.0033573,---,---,0.1170±0.0036,0.117±0.004,0.114826999604702±0.003357280000000
M✶ (M⦿),0.0898±0.0023,0.0898±0.0023,0.0898±0.0023,---,0.09077820±0.02000690,---,0.089±0.007,0.0802±0.0073,0.080±0.009,---
Metallicity (dex),0.0520±0.0730 [Fe/H],---,0.05350±0.08800 [Fe/H],---,---,---,---,0.040±0.080 [Fe/H],0.040±0.080 [Fe/H],---
L✶ (log10(L⦿)),-3.26 +0.01 -0.02,-3.26 +0.01 -0.02,-3.26 +0.01 -0.01,---,---,---,---,-3.28 +0.03 -0.03,-3.28 +0.03 -0.03,---
log g (log10(cm/s2)),5.2396 +0.0056 -0.0073,5.2396 +0.0056 -0.0073,---,---,5.2759600±0.0719093,---,---,---,---,5.2759600±0.0719093
Age (Gyr),7.6±2.2,---,---,---,---,---,---,---,>0.5,---
ρ✶ (g/cm3),---,75.05 +1.02 -1.66,67.64±5.50,---,84.5307882±11.2901428,---,---,71.5 +1.7 -3.1,70.9 +8.0 -4.6,---
v sin i (km/s),---,---,---,2.04 +0.18 -0.16,---,---,---,---,---,---
Prot (days),3.30±0.14,---,---,---,---,---,---,---,1.40±0.05,---
